election_date,ward,role,given_name,family_name,elected,votes
1999-05-01,Mayor,Mayor,Ross,Willcock,TRUE,4022
1999-05-01,Mayor,Mayor,David,Berry,FALSE,2787
1999-05-01,Coast,Councillor,Marlene,Anderton,TRUE,2283
1999-05-01,Coast,Councillor,Sonia,Grinceri,FALSE,1812
1999-05-01,Coast,Councillor,Kerry,Smith,TRUE,2268
1999-05-01,Wembley,Councillor,Chris,Hurd,FALSE,1317
1999-05-01,Wembley,Councillor,Pauline,O'Connor,TRUE,2577
1999-05-01,Wembley,Councillor,Alan,Langer,TRUE,1848
2001-05-05,Coast,Councillor,Graham,Burkett,TRUE,2154
2001-05-05,Coast,Councillor,Lionel,Johnston,FALSE,2148
2001-05-05,Coast,Councillor,Hilary,Pinerua,TRUE,2244
2001-05-05,Wembley,Councillor,Corinne,MacRae,TRUE,1484
2001-05-05,Wembley,Councillor,David,Berry,FALSE,1184
2001-05-05,Wembley,Councillor,Ken,McAullay,TRUE,1426
2001-05-05,Wembley,Councillor,Joe,Ellams,FALSE,842
2001-05-05,Wembley,Councillor,Kaye,Metaxas,FALSE,742
2001-05-05,Wembley,Councillor,Jane,Serventy,FALSE,742
2003-05-03,Mayor,Mayor,Ross,Willcock,FALSE,2935
2003-05-03,Mayor,Mayor,Marlene,Anderton,TRUE,3595
2003-05-03,Coast,Councillor,Pauline,O'Connor,TRUE,1985
2003-05-03,Coast,Councillor,Rod,Bradley,TRUE,1351
2003-05-03,Coast,Councillor,Kerry,Smith,FALSE,972
2003-05-03,Coast,Councillor,Alan,Wilson,FALSE,897
2003-05-03,Coast,Councillor,Samantha,Pearce,FALSE,707
2003-05-03,Coast,Councillor,David,Needham,FALSE,766
2003-05-03,Coast,Councillor,Kevin,Cloghan,FALSE,106
2003-05-03,Wembley,Councillor,Jane,Serventy,FALSE,836
2003-05-03,Wembley,Councillor,Alan John,Langer,TRUE,1332
2003-05-03,Wembley,Councillor,Kate,Barlow,TRUE,1086
2003-05-03,Wembley,Councillor,David George,Berry,FALSE,839
2003-05-03,Wembley,Councillor,Bill,Dempsey,FALSE,994
2003-05-03,Wembley,Councillor,Joe,Ellams,FALSE,562
2005-05-07,Coast,Councillor,Graham,Hornel,FALSE,599
2005-05-07,Coast,Councillor,Andrew,Berryman,FALSE,358
2005-05-07,Coast,Councillor,Kerry,Smith,FALSE,937
2005-05-07,Coast,Councillor,Penny,Huxtable,TRUE,1671
2005-05-07,Coast,Councillor,John,Gow,TRUE,1739
2005-05-07,Coast,Councillor,Hilary,Pinerua,FALSE,864
2005-05-07,Coast,Councillor,Andrew,Peake,FALSE,759
2005-05-07,Wembley,Councillor,David,Berry,TRUE,1155
2005-05-07,Wembley,Councillor,Gavin,Foley,FALSE,898
2005-05-07,Wembley,Councillor,Ken,Rogers,FALSE,622
2005-05-07,Wembley,Councillor,Paul,Fleay,FALSE,556
2005-05-07,Wembley,Councillor,Corinne Marie,MacRae,TRUE,1473
2005-05-07,Wembley,Councillor,Carolyn,Moody,FALSE,959
2007-10-20,Mayor,Mayor,Rod,Bradley,FALSE,
2007-10-20,Mayor,Mayor,Pauline,O'Connor,FALSE,
2007-10-20,Mayor,Mayor,Simon,Withers,TRUE,
2007-10-20,Mayor,Mayor,John,Connell,FALSE,
2007-10-20,Coast,Councillor,Hilary,Pinerua,TRUE,
2007-10-20,Coast,Councillor,Don,Weerakody,FALSE,
2007-10-20,Coast,Councillor,Murray,Jackson,FALSE,
2007-10-20,Coast,Councillor,Graham,Annan,FALSE,
2007-10-20,Coast,Councillor,Otto,Pelczar,TRUE,
2007-10-20,Coast,Councillor,Rod,Bradley,TRUE,
2007-10-20,Coast,Councillor,Sonia,Grinceri,TRUE,
2007-10-20,Wembley,Councillor,Julie,Watson,TRUE,
2007-10-20,Wembley,Councillor,Gavin,Foley,FALSE,
2007-10-20,Wembley,Councillor,Alan John,Langer,TRUE,
2007-10-20,Wembley,Councillor,Paul,North,FALSE,
2009-10-17,Coast,Councillor,Otto,Pelczar,TRUE,1550
2009-10-17,Coast,Councillor,Sonia,Grinceri,TRUE,1440
2009-10-17,Coast,Councillor,Anne Margaret,Braithwaite,FALSE,1278
2009-10-17,Wembley,Councillor,John Leslie,Connell,FALSE,896
2009-10-17,Wembley,Councillor,David,Berry,FALSE,896
2009-10-17,Wembley,Councillor,Robert Charles,Chambers,FALSE,870
2009-10-17,Wembley,Councillor,Tracey Anne,King,TRUE,932
2009-10-17,Wembley,Councillor,Corinne,MacRae,TRUE,1611
2011-10-15,Mayor,Mayor,Simon,Withers,TRUE,
2011-10-15,Coast,Councillor,Hilary,Pinerua,FALSE,1069
2011-10-15,Coast,Councillor,Jon,Petelczyc,FALSE,697
2011-10-15,Coast,Councillor,Colin Edward,Walker,TRUE,1450
2011-10-15,Coast,Councillor,Rod,Bradley,TRUE,1513
2011-10-15,Wembley,Councillor,Louis Donald,Carr,TRUE,
2011-10-15,Wembley,Councillor,Alan John,Langer,TRUE,
2013-10-19,Coast,Councillor,Andres,Timmermanis,FALSE,605
2013-10-19,Coast,Councillor,Gary,Mack,FALSE,570
2013-10-19,Coast,Councillor,Deanne T,Scott,FALSE,631
2013-10-19,Coast,Councillor,Kyle,Sinclair,FALSE,433
2013-10-19,Coast,Councillor,Otto,Pelczar,FALSE,583
2013-10-19,Coast,Councillor,Pauline,O'Connor,TRUE,1113
2013-10-19,Coast,Councillor,Sonia,Grinceri,TRUE,707
2013-10-19,Wembley,Councillor,Alex,Kotovski,FALSE,457
2013-10-19,Wembley,Councillor,Alaine,Casey,FALSE,640
2013-10-19,Wembley,Councillor,Corinne,MacRae,TRUE,1254
2013-10-19,Wembley,Councillor,Tracey,King,TRUE,972
2013-10-19,Wembley,Councillor,Ross,Jones,FALSE,745
2015-10-17,Mayor,Mayor,Gary,Mack,FALSE,569
2015-10-17,Mayor,Mayor,Pauline,O'Connor,FALSE,633
2015-10-17,Mayor,Mayor,Keri,Shannon,TRUE,3035
2015-10-17,Mayor,Mayor,Simon,Withers,FALSE,2128
2015-10-17,Coast,Councillor,Gary,Mack,FALSE,814
2015-10-17,Coast,Councillor,Elizabeth,Eaton,FALSE,842
2015-10-17,Coast,Councillor,Colin,Walker,FALSE,1035
2015-10-17,Coast,Councillor,Andres,Timmermanis,TRUE,2047
2015-10-17,Coast,Councillor,Natasha,Ogonowski,FALSE,498
2015-10-17,Coast,Councillor,Rod,Bradley,TRUE,2098
2015-10-17,Wembley,Councillor,Rob,Fredericks,FALSE,313
2015-10-17,Wembley,Councillor,Eacham,Curry,FALSE,294
2015-10-17,Wembley,Councillor,Andrew,Mill,FALSE,487
2015-10-17,Wembley,Councillor,Louis,Carr,TRUE,953
2015-10-17,Wembley,Councillor,John,Connell,FALSE,745
2015-10-17,Wembley,Councillor,Jane,Powell,TRUE,1110
2015-10-17,Wembley,Councillor,Ross,Jones,FALSE,819
2019-10-19,Mayor,Mayor,Keri,Shannon,TRUE,
2019-10-19,Coast,Councillor,Rod,Bradley,TRUE,
2019-10-19,Coast,Councillor,Andres,Timmermanis,TRUE,
2019-10-19,Wembley,Councillor,Catherine (Kate),Barlow,TRUE,
2019-10-19,Wembley,Councillor,Alaine,Haddon-Casey,TRUE,
2019-10-19,Wembley,Councillor,Gary,Mack,TRUE,
2021-10-16,Coast,Councillor,Jane,Cutler,TRUE,2156
2021-10-16,Coast,Councillor,Xavier,Carr,TRUE,1119
2021-10-16,Coast,Councillor,James,Davies,FALSE,960
2021-10-16,Coast,Councillor,Frank,Maley,FALSE,878
2021-10-16,Wembley,Councillor,Gary,Mack,TRUE,1275
2021-10-16,Wembley,Councillor,Ben,Mayes,FALSE,849
2021-10-16,Wembley,Councillor,Nathan,Pledger,FALSE,815
2021-10-16,Wembley,Councillor,Robert,Fredericks,TRUE,1075
2023-10-21,Mayor,Mayor,Anthony James,Fels,FALSE,254
2023-10-21,Mayor,Mayor,Gary Norman,Mack,TRUE,1359
2023-10-21,Mayor,Mayor,Xavier,Carr,FALSE,192
2023-10-21,Mayor,Mayor,Jane,Cutler,FALSE,1259
2023-10-21,Mayor,Mayor,Keri,Shannon,FALSE,1151
2023-10-21,Mayor,Mayor,Basil,Palassis,FALSE,1091
2023-10-21,Coast,Councillor,Meg,Anklesaria,FALSE,499
2023-10-21,Coast,Councillor,Michael Thomas,Le Page,TRUE,785
2023-10-21,Coast,Councillor,Anita,McSweeney,FALSE,499
2023-10-21,Coast,Councillor,Georgie,Randklev,TRUE,819
2023-10-21,Coast,Councillor,Anthony James,Fels,FALSE,325
2023-10-21,Wembley,Councillor,Gavin,Foley,FALSE,421
2023-10-21,Wembley,Councillor,Susan,Kennerly,TRUE,1126
2023-10-21,Wembley,Councillor,Kate,Barlow,TRUE,707
