councillor_id,given_name,family_name,ward,role,term_start,term_end,source,notes
180,,,,,2026-03-24,2026-03-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
215,,Anderton,,,1995-06-13,2007-02-27,derived_from_votes,DERIVED from vote dates — VERIFY and correct
267,Elaine,Anderton,,,2001-12-18,2001-12-18,derived_from_votes,DERIVED from vote dates — VERIFY and correct
273,Kerry,Anderton,,,2003-04-22,2003-04-22,derived_from_votes,DERIVED from vote dates — VERIFY and correct
216,Marlene,Anderton,,,1996-11-26,2007-02-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
572,Unnamed,Anderton,,,2002-11-19,2002-11-19,derived_from_votes,DERIVED from vote dates — VERIFY and correct
324,name unknown,Anderton,,,2001-04-24,2001-04-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
25,,Anklesaria,,,2009-07-28,2015-12-15,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2015→2022 (7yr) — may be separate person or separate term
25,,Anklesaria,,,2022-10-18,2024-09-17,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
203,Meg,Anklesaria,,,2021-04-27,2023-10-09,derived_from_votes,DERIVED from vote dates — VERIFY and correct
441,Not named,Anklesaria,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
61,Jim,Ashenden,,,2015-12-15,2017-11-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
184,Andrew,Barlow,,,2026-02-24,2026-02-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
167,Anne,Barlow,,,2025-11-25,2025-11-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
79,Catherine,Barlow,,,2026-02-24,2026-04-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
493,John,Barlow,,,2006-02-28,2006-02-28,derived_from_votes,DERIVED from vote dates — VERIFY and correct
2,Kate,Barlow,,,2003-05-27,2014-04-29,derived_from_votes,DERIVED from vote dates — VERIFY; POSSIBLE GAP AFTER THIS PERIOD: 2014→2017 (3yr) — may be separate person or separate term
2,Kate,Barlow,,,2017-08-22,2026-05-05,derived_from_votes,DERIVED from vote dates — VERIFY; period 2
438,Not named,Barlow,,,2022-12-20,2022-12-20,derived_from_votes,DERIVED from vote dates — VERIFY and correct
383,Peter,Barlow,,,2005-10-25,2005-10-25,derived_from_votes,DERIVED from vote dates — VERIFY and correct
135,Stephanie,Barlow,,,2020-12-15,2020-12-15,derived_from_votes,DERIVED from vote dates — VERIFY and correct
291,Susan,Barlow,,,2007-07-24,2007-07-24,derived_from_votes,DERIVED from vote dates — VERIFY and correct
