election_date,ward,role,given_name,family_name,elected,votes
1999-05-01,Perth,Lord Mayor,Laurence,Goodman,FALSE,1163
1999-05-01,Perth,Lord Mayor,Otto,Pelczar,FALSE,279
1999-05-01,Perth,Lord Mayor,Peter,Nattrass,TRUE,2198
1999-05-01,Perth,Councillor,Peter,Richardson,FALSE,1196
1999-05-01,Perth,Councillor,Janet,Davidson,TRUE,1677
1999-05-01,Perth,Councillor,Jennifer,MacGill,TRUE,1571
1999-05-01,Perth,Councillor,Noel,Semmens,TRUE,1891
1999-05-01,Perth,Councillor,Otto,Pelczar,FALSE,705
1999-05-01,Perth,Councillor,Rob,Butler,FALSE,1366
1999-05-01,Perth,Councillor,Roger,Kwok,FALSE,1205
1999-05-01,Perth,Councillor,Tess,Stroud,TRUE,1970
1999-05-01,Perth,Councillor,Brad,Waghorn,FALSE,1329
1999-05-01,Perth,Councillor,Terry,Maller,FALSE,561
2001-05-05,Perth,Councillor,Tony,Ransom,FALSE,631
2001-05-05,Perth,Councillor,Bill,Bradbury,FALSE,519
2001-05-05,Perth,Councillor,Vincent,Tan,TRUE,1752
2001-05-05,Perth,Councillor,Judy,McEvoy,TRUE,1876
2001-05-05,Perth,Councillor,Brett Alan,Wilkins,FALSE,1546
2001-05-05,Perth,Councillor,Bill,Evangel,FALSE,1270
2001-05-05,Perth,Councillor,Laurence,Goodman,FALSE,1534
2001-05-05,Perth,Councillor,Bert,Tudori,TRUE,1642
2001-05-05,Perth,Councillor,John,Tognolini,FALSE,1529
2003-05-03,Perth,Lord Mayor,Bill,Bradbury,FALSE,66
2003-05-03,Perth,Lord Mayor,Janet,Davidson,FALSE,729
2003-05-03,Perth,Lord Mayor,Chas,Hopkins,FALSE,806
2003-05-03,Perth,Lord Mayor,Tony,Ransom,FALSE,63
2003-05-03,Perth,Lord Mayor,John,Hammond,FALSE,764
2003-05-03,Perth,Lord Mayor,Peter Roland,Nattrass,TRUE,1809
2003-05-03,Perth,Councillor,Vivienne,George,FALSE,1842
2003-05-03,Perth,Councillor,Tess,Stroud,FALSE,1712
2003-05-03,Perth,Councillor,Rob,Butler,TRUE,1957
2003-05-03,Perth,Councillor,Tony,Ransom,FALSE,544
2003-05-03,Perth,Councillor,Janet,Davidson,TRUE,2391
2003-05-03,Perth,Councillor,Bill,Bradbury,FALSE,392
2003-05-03,Perth,Councillor,Lisa,Scaffidi,TRUE,2615
2003-05-03,Perth,Councillor,Max,Kay,TRUE,2242
2003-05-03,Perth,Councillor,Neil,Scott,FALSE,623
2005-05-07,Perth,Councillor,Chris,Hardy,TRUE,1599
2005-05-07,Perth,Councillor,John,Hammond,FALSE,1346
2005-05-07,Perth,Councillor,Bill,Bradbury,FALSE,296
2005-05-07,Perth,Councillor,Jean,Jaquaniello,FALSE,193
2005-05-07,Perth,Councillor,Michael,Sutherland,TRUE,1728
2005-05-07,Perth,Councillor,Neil,Scott,FALSE,528
2005-05-07,Perth,Councillor,David,Goncalves,FALSE,659
2005-05-07,Perth,Councillor,Tony,Pallotta,FALSE,914
2005-05-07,Perth,Councillor,Daniel,Smith,FALSE,932
2005-05-07,Perth,Councillor,Scott,Fitzsimmons,FALSE,277
2005-05-07,Perth,Councillor,Vincent,Tan,FALSE,929
2005-05-07,Perth,Councillor,Bert,Tudori,FALSE,1016
2005-05-07,Perth,Councillor,Eleni,Evangel,TRUE,1582
2007-10-20,Perth,Lord Mayor,Michael,Sutherland,FALSE,
2007-10-20,Perth,Lord Mayor,William Edward,Bradbury,FALSE,
2007-10-20,Perth,Lord Mayor,Max,Kay,FALSE,
2007-10-20,Perth,Lord Mayor,Lisa,Scaffidi,TRUE,
2007-10-20,Perth,Lord Mayor,Neil,McKinnon,FALSE,
2007-10-20,Perth,Councillor,Bert,Tudori,FALSE,
2007-10-20,Perth,Councillor,Ainslie,Gatt,FALSE,
2007-10-20,Perth,Councillor,Sandra,Liu,TRUE,
2007-10-20,Perth,Councillor,Margaret,Hall,FALSE,
2007-10-20,Perth,Councillor,Rob,Butler,TRUE,
2007-10-20,Perth,Councillor,Neil,Scott,FALSE,
2007-10-20,Perth,Councillor,Janet,Davidson,TRUE,
2007-10-20,Perth,Councillor,Tina,Lewis,FALSE,
2007-10-20,Perth,Councillor,William Edward,Bradbury,FALSE,
2007-10-20,Perth,Councillor,John,Tognolini,TRUE,
2009-10-17,Perth,Councillor,Peter Christison,Neil,FALSE,793
2009-10-17,Perth,Councillor,Karl,Williams,FALSE,1008
2009-10-17,Perth,Councillor,Chas,Hopkins,FALSE,1378
2009-10-17,Perth,Councillor,Lyndon Douglas,Rodgers,TRUE,1544
2009-10-17,Perth,Councillor,John,Dimitrovski,FALSE,1327
2009-10-17,Perth,Councillor,James,Limnios,TRUE,1579
2009-10-17,Perth,Councillor,Judy,McEvoy,TRUE,2007
2009-10-17,Perth,Councillor,Eleni,Evangel,TRUE,2086
2011-10-15,Perth,Lord Mayor,Anne,Bontempo,FALSE,1546
2011-10-15,Perth,Lord Mayor,Lisa,Scaffidi,TRUE,2768
2011-10-15,Perth,Councillor,Rob,Butler,TRUE,2151
2011-10-15,Perth,Councillor,Lily,Chen,TRUE,1866
2011-10-15,Perth,Councillor,Jim,Adamos,TRUE,1845
2011-10-15,Perth,Councillor,Janet,Davidson,TRUE,2400
2011-10-15,Perth,Councillor,Peter,Neil,FALSE,589
2011-10-15,Perth,Councillor,Geoff,Hourn,FALSE,1552
2011-10-15,Perth,Councillor,Chas,Hopkins,FALSE,1546
2011-10-15,Perth,Councillor,Sandra,Liu,FALSE,1728
2011-10-15,Perth,Councillor,John,Tognolini,FALSE,1690
2013-10-19,Perth,Councillor,Judy,McEvoy,TRUE,1632
2013-10-19,Perth,Councillor,Keith,Yong,TRUE,1278
