election_date,ward,role,given_name,family_name,elected,votes
1999-05-01,Mayor,Mayor,Suzanne,Pierce,TRUE,4882
1999-05-01,Mayor,Mayor,John,Hardwick,FALSE,4773
1999-05-01,Civic,Councillor,Cheryl,Dibb,TRUE,1095
1999-05-01,Civic,Councillor,Bill,Gleeson,FALSE,642
1999-05-01,Civic,Councillor,Eric,Eisenmann,FALSE,789
1999-05-01,Como Beach,Councillor,Lauraine,MacPherson,TRUE,
1999-05-01,Como Beach,Councillor,Peter,Kirwan,TRUE,
1999-05-01,Manning,Councillor,Graham,Rowe,TRUE,
1999-05-01,Manning,Councillor,Bill,McGhie,TRUE,
1999-05-01,McDougall,Councillor,Lance,Rattigan,FALSE,609
1999-05-01,McDougall,Councillor,Colin,Cala,FALSE,950
1999-05-01,McDougall,Councillor,Gerry,Arthur,FALSE,731
1999-05-01,McDougall,Councillor,Roy,Wells,TRUE,1091
1999-05-01,Mill Point,Councillor,Sally,Cook,TRUE,
1999-05-01,Moresby,Councillor,Kevin Richard,Trent,FALSE,752
1999-05-01,Moresby,Councillor,Phillipa,Trowbridge,FALSE,831
1999-05-01,Moresby,Councillor,James George,Maley,FALSE,581
1999-05-01,Moresby,Councillor,Claire,Allison,TRUE,913
2005-05-07,Civic,Councillor,Bill,Gleeson,TRUE,
2005-05-07,Como Beach,Councillor,Joan,Edwardes,FALSE,242
2005-05-07,Como Beach,Councillor,Alan,Hopkins,FALSE,340
2005-05-07,Como Beach,Councillor,Brian,Hearne,TRUE,822
2005-05-07,Manning,Councillor,Les,Ozsdolay,TRUE,
2005-05-07,McDougall,Councillor,Colin,Cala,TRUE,
2005-05-07,Mill Point,Councillor,David,Smith,TRUE,
2005-05-07,Moresby,Councillor,Kevin,Trent,TRUE,
2007-10-20,Mayor,Mayor,James,Best,TRUE,
2007-10-20,Mayor,Mayor,Les,Ozsdolay,FALSE,
2007-10-20,Mayor,Mayor,Barry,Maddaford,FALSE,
2007-10-20,Mayor,Mayor,Ron,Regan,FALSE,
2007-10-20,Civic,Councillor,Geoff,Defrenne,FALSE,
2007-10-20,Civic,Councillor,Ian,Hasleby,TRUE,
2007-10-20,Como Beach,Councillor,Jim,Grayden,FALSE,
2007-10-20,Como Beach,Councillor,Peter,Best,TRUE,
2007-10-20,Manning,Councillor,Travis,Burrows,TRUE,
2007-10-20,McDougall,Councillor,Roy,Wells,TRUE,
2007-10-20,Mill Point,Councillor,Rob,Grayden,TRUE,
2007-10-20,Mill Point,Councillor,Barry,Maddaford,FALSE,
2007-10-20,Moresby,Councillor,Sue,Doherty,TRUE,
2007-10-20,Moresby,Councillor,Murray,Rosenberg,FALSE,
2009-10-17,Civic,Councillor,Veronica Mary,Lawrance,TRUE,852
2009-10-17,Civic,Councillor,Bill,Gleeson,FALSE,658
2009-10-17,Como Beach,Councillor,Brian,Hearne,FALSE,624
2009-10-17,Como Beach,Councillor,Glenn,Cridland,TRUE,778
2009-10-17,Manning,Councillor,Les,Ozsdolay,TRUE,
2009-10-17,McDougall,Councillor,Colin,Cala,TRUE,824
2009-10-17,McDougall,Councillor,Murray,Rosenberg,FALSE,428
2009-10-17,Mill Point,Councillor,Betty,Skinner,TRUE,918
2009-10-17,Mill Point,Councillor,Michael John,Frame,FALSE,655
2009-10-17,Moresby,Councillor,Kevin Richard,Trent,TRUE,783
2009-10-17,Moresby,Councillor,Fiona,Reid,FALSE,728
2011-10-15,Mayor,Mayor,Sue,Doherty,TRUE,4001
2011-10-15,Mayor,Mayor,Chris,Thomas,FALSE,757
2011-10-15,Mayor,Mayor,Travis,Burrows,FALSE,2809
2011-10-15,Civic,Councillor,Ian,Hasleby,TRUE,
2011-10-15,Como Beach,Councillor,Charlotte,MacMillan,FALSE,200
2011-10-15,Como Beach,Councillor,Peter John,Best,FALSE,319
2011-10-15,Como Beach,Councillor,Bill,Gleeson,TRUE,669
